age,income,loan_amount,loan_term_months,credit_score,num_credit_cards,default
54,57416,25706,21,425,5,1
26,60854,11246,31,712,2,0
57,84506,19153,17,798,5,0
53,66131,9913,59,724,1,0
42,21512,6923,14,842,2,0
41,51176,4822,53,457,2,0
26,77170,17691,22,411,4,1
26,59353,15921,54,701,5,0
24,54929,12604,28,421,2,0
50,63503,6132,43,572,2,0
31,40664,11548,15,593,4,0
50,57171,15020,15,697,4,0
51,46242,18965,28,770,5,0
44,49705,14917,52,506,1,0
29,62426,16260,30,409,1,0
23,36099,13119,16,739,3,1
51,69319,23746,43,577,2,1
60,43657,9908,33,781,5,0
57,53909,11503,17,413,2,0
56,28992,12538,46,776,5,1
44,60797,17713,33,620,5,0
51,71697,9805,12,478,5,0
26,42280,15678,31,518,2,1
22,33346,15824,33,827,4,1
40,54169,11528,59,791,2,0
48,71822,16649,22,360,5,0
31,28252,9960,24,353,3,0
24,33405,9414,53,837,1,0
35,43187,15498,14,364,5,0
26,37694,6701,20,470,3,0
50,37742,4275,23,572,4,0
58,18588,17664,34,834,5,0
22,58835,20244,25,690,3,0
35,55080,12665,44,626,5,0
31,24517,11659,29,407,2,0
28,71857,20027,52,461,3,0
46,75216,9272,20,751,2,1
64,38736,8183,34,505,2,0
25,67498,18538,21,315,3,0
26,41405,15045,30,626,1,1
46,52716,20324,58,301,3,0
24,37463,4298,16,309,1,0
39,83213,7996,58,733,5,1
40,45559,15071,34,424,5,0
53,51896,17088,41,380,3,0
40,39680,19234,36,784,5,0
32,77919,15874,39,449,4,0
21,78299,15823,45,639,2,1
46,74463,13052,56,428,2,1
34,64346,22954,59,737,1,0
58,40628,9484,58,800,5,0
57,62417,16795,36,357,1,0
31,49894,10060,21,497,2,0
56,69686,17673,25,510,2,0
33,66738,9814,53,344,5,0
63,40261,18719,57,396,4,0
23,64217,15560,41,578,4,0
53,60230,23723,52,834,5,0
26,8396,13594,36,709,5,0
30,62014,17124,25,760,1,0
25,43523,11101,46,690,5,0
43,36709,13560,59,343,4,0
30,37351,15528,45,326,5,0
64,47971,7363,21,396,1,0
22,57200,7911,46,847,1,0
33,29518,17999,22,518,1,1
60,52847,14269,22,484,1,0
22,58651,12035,32,368,3,0
40,77927,11315,32,429,5,0
21,33849,11507,33,633,2,0
57,44755,15562,56,453,5,0
29,53924,17225,18,846,3,1
37,67211,4539,28,378,1,0
29,45436,22064,13,712,3,1
31,67979,21708,23,845,4,1
35,20939,3346,53,468,4,0
44,31199,20429,29,814,5,0
58,55229,20276,22,613,5,0
55,28837,15002,27,331,2,0
50,32382,8514,29,586,2,0
51,42083,20076,46,342,4,0
25,61571,13793,37,300,1,0
64,21560,17744,27,569,3,0
34,52554,26096,17,479,2,0
31,65494,16259,55,817,2,0
29,47075,10415,54,402,1,0
54,44467,13321,58,309,1,0
32,56026,11052,58,389,5,0
55,47118,17167,59,525,3,0
55,70857,10969,53,425,1,1
21,33328,12635,23,508,2,0
60,49225,8577,24,396,2,0
42,53085,14339,15,373,4,0
49,44323,15883,50,490,1,0
28,6930,1576,13,355,5,0
31,47586,16297,37,331,3,0
61,63502,14771,38,826,5,0
57,61671,11175,38,583,2,0
34,55321,25143,26,793,5,0
50,33532,19792,19,486,2,0
55,55929,9517,18,797,2,0
41,41398,19191,58,741,2,0
57,55302,21222,57,429,2,1
25,51822,15660,51,591,2,0
39,35354,16807,23,413,4,0
34,36613,16691,24,498,5,0
46,55325,4570,54,312,4,0
24,46683,14065,28,570,4,1
45,37395,13805,28,514,1,0
62,36157,22150,47,743,1,0
45,45442,16668,32,811,1,0
38,73521,13511,19,746,3,0
60,42108,14549,16,373,1,1
28,49789,20116,37,836,5,0
59,51524,14077,27,400,4,1
60,33034,11509,47,475,5,0
34,23557,13621,39,726,1,0
52,34600,19703,40,416,3,0
58,53706,17480,58,465,3,1
53,51309,15221,23,340,4,0
43,60536,15957,48,728,5,0
35,51451,12201,41,643,2,1
53,48356,14030,34,723,5,0
45,40939,11683,27,665,1,0
37,63269,13526,25,419,2,0
53,36212,21730,21,528,3,0
22,33344,9610,18,429,4,0
34,58505,11556,56,651,4,0
60,30002,8728,48,617,3,0
60,86221,7645,40,636,1,0
